timestamp,mcpm1x0,mcpm2x5,mcpm4x0,mcpm10,mcpm2x5_aqi,mcpm10_aqi,ncpm1x0,ncpm2x5,ncpm4x0,ncpm10,latitude,longitude,serial
2025-06-10 12:00:18,1,1,1,1,4,1,11,11,11,11,-16.49778969,-68.13372477,81432434004
2025-06-10 12:15:18,1,1,1,1,4,1,12,12,12,12,-16.49778969,-68.13372477,81432434004
2025-06-10 12:30:18,1,1,1,1,4,1,11,11,11,11,-16.49778969,-68.13372477,81432434004
2025-06-10 12:45:18,2,3,3,3,13,3,25,25,25,25,-16.49778969,-68.13372477,81432434004
2025-06-10 13:00:18,1,1,1,1,4,1,11,12,12,12,-16.49778969,-68.13372477,81432434004
2025-06-10 13:15:18,1,1,1,1,4,1,12,12,12,12,-16.49778969,-68.13372477,81432434004
2025-06-10 13:30:18,1,1,1,1,4,1,10,10,10,10,-16.49778969,-68.13372477,81432434004
2025-06-10 13:45:18,1,1,1,1,4,1,11,11,11,11,-16.49778969,-68.13372477,81432434004
2025-06-10 14:00:18,1,1,1,1,4,1,11,11,11,11,-16.49778969,-68.13372477,81432434004
2025-06-10 14:15:18,1,1,1,1,4,1,13,13,13,13,-16.49778969,-68.13372477,81432434004
2025-06-10 14:30:18,2,2,2,2,8,2,21,21,21,21,-16.49778969,-68.13372477,81432434004
2025-06-10 14:45:18,1,1,1,1,4,1,10,10,10,10,-16.49778969,-68.13372477,81432434004
2025-06-10 15:00:18,1,1,1,1,4,1,10,10,10,10,-16.49778969,-68.13372477,81432434004
2025-06-10 15:15:18,1,1,1,1,4,1,10,10,10,10,-16.49778969,-68.13372477,81432434004
2025-06-10 15:30:18,1,1,1,1,4,1,13,13,13,13,-16.49778969,-68.13372477,81432434004
2025-06-10 15:45:18,1,1,1,1,4,1,10,10,10,10,-16.49778969,-68.13372477,81432434004
2025-06-10 16:00:18,1,1,1,1,4,1,13,13,13,13,-16.49778969,-68.13372477,81432434004
2025-06-10 16:15:18,1,1,1,1,4,1,11,11,11,11,-16.49778969,-68.13372477,81432434004
2025-06-10 16:30:18,1,1,1,1,4,1,10,10,10,10,-16.49778969,-68.13372477,81432434004
2025-06-10 16:45:18,1,1,1,1,4,1,13,13,13,13,-16.49778969,-68.13372477,81432434004
2025-06-10 17:00:18,1,1,1,1,4,1,12,12,12,12,-16.49778969,-68.13372477,81432434004
2025-06-10 17:15:18,1,1,1,1,4,1,12,13,13,13,-16.49778969,-68.13372477,81432434004
2025-06-10 17:30:18,1,1,1,1,4,1,16,16,16,16,-16.49778969,-68.13372477,81432434004
2025-06-10 17:45:18,2,2,2,2,8,2,19,19,19,19,-16.49778969,-68.13372477,81432434004
2025-06-10 18:00:18,2,2,2,2,8,2,24,24,24,24,-16.49778969,-68.13372477,81432434004
2025-06-10 18:15:18,2,2,2,2,8,2,23,23,23,23,-16.49778969,-68.13372477,81432434004
2025-06-10 18:30:18,2,2,2,2,8,2,25,25,25,25,-16.49778969,-68.13372477,81432434004
2025-06-10 18:45:18,2,2,2,2,8,2,29,29,29,29,-16.49778969,-68.13372477,81432434004
2025-06-10 19:00:18,2,2,2,2,8,2,25,25,25,25,-16.49778969,-68.13372477,81432434004
2025-06-10 19:15:18,2,3,3,3,13,3,30,30,30,30,-16.49778969,-68.13372477,81432434004
2025-06-10 19:30:18,2,3,3,3,13,3,31,31,31,31,-16.49778969,-68.13372477,81432434004
2025-06-10 19:45:18,5,6,6,6,25,6,64,64,64,64,-16.49778969,-68.13372477,81432434004
2025-06-10 20:00:18,4,4,4,4,17,4,50,50,50,50,-16.49778969,-68.13372477,81432434004
2025-06-10 20:15:18,3,3,3,3,13,3,32,33,33,33,-16.49778969,-68.13372477,81432434004
2025-06-10 20:30:18,3,3,3,3,13,3,40,40,40,40,-16.49778969,-68.13372477,81432434004
2025-06-10 20:45:18,3,3,3,3,13,3,32,32,32,32,-16.49778969,-68.13372477,81432434004
