timestamp,mcpm1x0,mcpm2x5,mcpm4x0,mcpm10,mcpm2x5_aqi,mcpm10_aqi,ncpm1x0,ncpm2x5,ncpm4x0,ncpm10,latitude,longitude,serial
2025-06-10 11:15:18,2,2,2,2,8,2,18,18,18,18,-16.4978,-68.13385,81432433012
2025-06-10 11:45:18,1,1,1,1,4,1,11,11,11,11,-16.4978,-68.13385,81432433012
2025-06-10 12:00:18,1,1,1,1,4,1,12,12,12,12,-16.4978,-68.13385,81432433012
2025-06-10 12:15:18,1,2,2,2,8,2,13,13,13,13,-16.4978,-68.13385,81432433012
2025-06-10 12:30:18,1,1,1,1,4,1,12,12,12,12,-16.4978,-68.13385,81432433012
2025-06-10 12:45:18,3,3,3,3,13,3,29,29,29,29,-16.4978,-68.13385,81432433012
2025-06-10 13:00:18,1,1,1,1,4,1,12,12,12,12,-16.4978,-68.13385,81432433012
2025-06-10 13:15:18,1,1,1,1,4,1,11,12,12,12,-16.4978,-68.13385,81432433012
2025-06-10 13:30:18,1,1,1,1,4,1,10,10,10,10,-16.4978,-68.13385,81432433012
2025-06-10 13:45:18,1,1,1,1,4,1,11,11,11,11,-16.4978,-68.13385,81432433012
2025-06-10 14:00:18,1,1,1,1,4,1,12,12,12,12,-16.4978,-68.13385,81432433012
2025-06-10 14:15:18,1,2,2,2,8,2,14,14,14,14,-16.4978,-68.13385,81432433012
2025-06-10 14:30:18,2,3,3,3,13,3,23,23,23,23,-16.4978,-68.13385,81432433012
2025-06-10 14:45:18,1,1,1,1,4,1,9,9,9,9,-16.4978,-68.13385,81432433012
2025-06-10 15:00:18,1,1,1,1,4,1,10,10,10,10,-16.4978,-68.13385,81432433012
2025-06-10 15:15:18,1,1,1,1,4,1,11,11,11,11,-16.4978,-68.13385,81432433012
2025-06-10 15:30:18,1,1,1,1,4,1,14,14,14,14,-16.4978,-68.13385,81432433012
2025-06-10 15:45:18,1,1,1,1,4,1,10,10,10,10,-16.4978,-68.13385,81432433012
2025-06-10 16:00:18,1,1,1,1,4,1,13,13,13,13,-16.4978,-68.13385,81432433012
2025-06-10 16:15:18,1,1,1,1,4,1,10,10,10,10,-16.4978,-68.13385,81432433012
2025-06-10 16:30:18,1,1,1,1,4,1,11,11,11,11,-16.4978,-68.13385,81432433012
2025-06-10 16:45:18,1,1,1,1,4,1,14,14,14,14,-16.4978,-68.13385,81432433012
2025-06-10 17:00:18,1,1,1,1,4,1,13,13,13,13,-16.4978,-68.13385,81432433012
2025-06-10 17:15:18,1,1,1,1,4,1,12,12,12,12,-16.4978,-68.13385,81432433012
2025-06-10 17:30:18,2,2,2,2,8,2,16,16,16,16,-16.4978,-68.13385,81432433012
2025-06-10 17:45:18,2,2,2,2,8,2,21,21,21,21,-16.4978,-68.13385,81432433012
2025-06-10 18:00:18,2,2,2,2,8,2,23,23,23,23,-16.4978,-68.13385,81432433012
2025-06-10 18:15:18,2,2,2,2,8,2,22,22,22,22,-16.4978,-68.13385,81432433012
2025-06-10 18:30:18,2,2,2,2,8,2,23,23,23,23,-16.4978,-68.13385,81432433012
2025-06-10 18:45:18,2,2,2,2,8,2,25,25,25,25,-16.4978,-68.13385,81432433012
2025-06-10 19:00:18,2,2,2,2,8,2,24,24,24,24,-16.4978,-68.13385,81432433012
2025-06-10 19:15:18,3,3,3,3,13,3,29,30,30,30,-16.4978,-68.13385,81432433012
2025-06-10 19:30:18,3,3,3,3,13,3,29,29,29,29,-16.4978,-68.13385,81432433012
