timestamp,mcpm1x0,mcpm2x5,mcpm4x0,mcpm10,mcpm2x5_aqi,mcpm10_aqi,ncpm1x0,ncpm2x5,ncpm4x0,ncpm10,latitude,longitude,serial
2025-06-10 12:17:55,1,1,1,1,4,1,12,12,12,12,-16.49774355,-68.1336612,81432433010
2025-06-10 12:32:55,1,1,1,1,4,1,13,13,13,13,-16.49774355,-68.1336612,81432433010
2025-06-10 12:47:55,3,3,3,3,13,3,25,26,26,26,-16.49774355,-68.1336612,81432433010
2025-06-10 13:02:55,1,1,1,1,4,1,12,12,12,12,-16.49774355,-68.1336612,81432433010
2025-06-10 13:17:55,1,1,1,1,4,1,13,13,13,13,-16.49774355,-68.1336612,81432433010
2025-06-10 13:32:55,1,1,1,1,4,1,11,11,11,11,-16.49774355,-68.1336612,81432433010
2025-06-10 13:47:55,1,1,1,1,4,1,11,11,11,11,-16.49774355,-68.1336612,81432433010
2025-06-10 14:02:55,1,1,1,1,4,1,11,11,11,11,-16.49774355,-68.1336612,81432433010
2025-06-10 14:17:55,2,2,2,2,8,2,16,16,16,16,-16.49774355,-68.1336612,81432433010
2025-06-10 14:32:55,2,2,2,2,8,2,21,21,21,21,-16.49774355,-68.1336612,81432433010
2025-06-10 14:47:55,1,1,1,1,4,1,10,10,10,10,-16.49774355,-68.1336612,81432433010
2025-06-10 15:02:55,1,1,1,1,4,1,10,10,10,10,-16.49774355,-68.1336612,81432433010
2025-06-10 15:17:55,1,1,1,1,4,1,10,10,10,10,-16.49774355,-68.1336612,81432433010
2025-06-10 15:32:55,1,2,2,2,8,2,16,16,16,16,-16.49774355,-68.1336612,81432433010
2025-06-10 15:47:55,1,1,1,1,4,1,10,10,10,10,-16.49774355,-68.1336612,81432433010
2025-06-10 16:02:55,1,1,1,1,4,1,14,14,14,14,-16.49774355,-68.1336612,81432433010
2025-06-10 16:17:55,1,1,1,1,4,1,10,10,10,10,-16.49774355,-68.1336612,81432433010
2025-06-10 16:32:55,1,1,1,1,4,1,13,13,13,13,-16.49774355,-68.1336612,81432433010
2025-06-10 16:47:55,1,1,1,1,4,1,12,12,12,12,-16.49774355,-68.1336612,81432433010
2025-06-10 17:02:55,1,1,1,1,4,1,12,12,12,12,-16.49774355,-68.1336612,81432433010
2025-06-10 17:17:55,1,1,1,1,4,1,13,13,13,13,-16.49774355,-68.1336612,81432433010
2025-06-10 17:32:56,2,2,2,2,8,2,18,18,18,18,-16.49774355,-68.1336612,81432433010
2025-06-10 17:47:56,2,2,2,2,8,2,20,20,20,20,-16.49774355,-68.1336612,81432433010
2025-06-10 18:02:56,2,2,2,2,8,2,23,23,23,23,-16.49774355,-68.1336612,81432433010
2025-06-10 18:17:56,2,2,2,2,8,2,22,22,22,22,-16.49774355,-68.1336612,81432433010
2025-06-10 18:32:56,2,2,2,2,8,2,23,23,23,23,-16.49774355,-68.1336612,81432433010
2025-06-10 18:47:56,2,2,2,2,8,2,26,26,26,26,-16.49774355,-68.1336612,81432433010
2025-06-10 19:02:56,2,2,2,2,8,2,24,24,24,24,-16.49774355,-68.1336612,81432433010
2025-06-10 19:17:56,2,3,3,3,13,3,29,29,29,29,-16.49774355,-68.1336612,81432433010
2025-06-10 19:32:56,2,2,2,2,8,2,27,27,27,27,-16.49774355,-68.1336612,81432433010
2025-06-10 19:47:56,6,6,6,6,25,6,65,66,66,66,-16.49774355,-68.1336612,81432433010
2025-06-10 20:02:56,4,4,4,4,17,4,42,42,42,42,-16.49774355,-68.1336612,81432433010
2025-06-10 20:17:56,3,3,3,3,13,3,36,36,36,36,-16.49774355,-68.1336612,81432433010
2025-06-10 20:32:56,3,3,3,3,13,3,33,33,33,33,-16.49774355,-68.1336612,81432433010
2025-06-10 20:47:56,2,3,3,3,13,3,28,28,28,28,-16.49774355,-68.1336612,81432433010
2025-06-10 21:02:56,2,2,2,2,8,2,27,27,27,27,-16.49774355,-68.1336612,81432433010
2025-06-10 21:17:56,4,4,4,4,17,4,44,44,44,45,-16.49774355,-68.1336612,81432433010
2025-06-10 21:32:56,5,5,5,5,21,5,54,54,54,54,-16.49774355,-68.1336612,81432433010
2025-06-10 21:47:56,3,3,3,3,13,3,34,34,34,34,-16.49774355,-68.1336612,81432433010
2025-06-10 22:02:56,3,3,3,3,13,3,33,33,33,33,-16.49774355,-68.1336612,81432433010
2025-06-10 22:17:56,3,4,4,4,17,4,40,41,41,41,-16.49774355,-68.1336612,81432433010
2025-06-10 22:32:56,4,4,4,4,17,4,47,47,47,47,-16.49774355,-68.1336612,81432433010
2025-06-10 22:47:56,4,4,4,4,17,4,45,45,45,45,-16.49774355,-68.1336612,81432433010
2025-06-10 23:02:56,3,3,3,3,13,3,38,39,39,39,-16.49774355,-68.1336612,81432433010
2025-06-10 23:17:56,4,4,4,4,17,4,49,49,49,49,-16.49774355,-68.1336612,81432433010
2025-06-10 23:32:56,4,4,4,4,17,4,42,42,42,42,-16.49774355,-68.1336612,81432433010
2025-06-10 23:47:56,3,3,4,4,13,4,38,38,38,38,-16.49774355,-68.1336612,81432433010
2025-06-11 00:02:56,4,4,4,4,17,4,43,44,44,44,-16.49774355,-68.1336612,81432433010
2025-06-11 00:17:56,4,4,4,4,17,4,43,43,43,43,-16.49774355,-68.1336612,81432433010
2025-06-11 00:32:56,5,5,5,5,21,5,54,54,54,54,-16.49774355,-68.1336612,81432433010
2025-06-11 00:47:56,4,4,4,4,17,4,50,50,50,50,-16.49774355,-68.1336612,81432433010
2025-06-11 01:02:56,3,4,4,4,17,4,41,41,41,41,-16.49774355,-68.1336612,81432433010
2025-06-11 01:17:56,3,3,3,3,13,3,33,33,33,33,-16.49774355,-68.1336612,81432433010
2025-06-11 01:32:56,2,2,2,2,8,2,24,24,24,24,-16.49774355,-68.1336612,81432433010
2025-06-11 01:47:56,2,2,2,2,8,2,20,20,20,20,-16.49774355,-68.1336612,81432433010
2025-06-11 02:02:56,2,2,2,2,8,2,19,19,19,19,-16.49774355,-68.1336612,81432433010
2025-06-11 02:17:56,2,2,2,2,8,2,18,18,18,18,-16.49774355,-68.1336612,81432433010
2025-06-11 02:32:56,1,1,2,2,4,2,16,16,16,16,-16.49774355,-68.1336612,81432433010
2025-06-11 02:47:56,1,1,1,1,4,1,14,14,14,14,-16.49774355,-68.1336612,81432433010
2025-06-11 03:02:56,1,1,1,1,4,1,15,15,15,15,-16.49774355,-68.1336612,81432433010
2025-06-11 03:17:56,1,1,1,1,4,1,14,15,15,15,-16.49774355,-68.1336612,81432433010
