timestamp,mcpm1x0,mcpm2x5,mcpm4x0,mcpm10,mcpm2x5_aqi,mcpm10_aqi,ncpm1x0,ncpm2x5,ncpm4x0,ncpm10,latitude,longitude,serial
2025-05-15 06:41:03,1,1,1,1,4,1,16,16,16,16,0.0,0.0,81432432054
2025-05-15 06:56:03,1,1,1,1,4,1,16,16,16,16,0.0,0.0,81432432054
2025-05-15 07:11:03,1,1,1,1,4,1,16,16,16,16,0.0,0.0,81432432054
2025-05-15 07:26:03,1,2,2,2,8,2,17,17,17,17,0.0,0.0,81432432054
2025-05-15 07:41:03,2,2,2,2,8,2,17,18,18,18,0.0,0.0,81432432054
2025-05-15 07:56:03,2,2,2,2,8,2,20,20,20,20,0.0,0.0,81432432054
2025-05-15 08:11:03,2,2,2,2,8,2,23,23,23,23,0.0,0.0,81432432054
2025-05-15 08:26:03,2,2,2,2,8,2,26,26,26,26,0.0,0.0,81432432054
2025-05-15 08:41:03,2,2,2,2,8,2,24,25,25,25,0.0,0.0,81432432054
2025-05-15 08:56:03,2,2,2,2,8,2,23,23,23,23,0.0,0.0,81432432054
2025-05-15 09:11:03,2,2,2,2,8,2,25,25,25,25,-16.53967789,-68.06652807,81432432054
2025-05-15 09:26:03,2,2,2,2,8,2,23,23,23,23,-16.53967789,-68.06652807,81432432054
2025-05-15 09:41:03,2,2,2,2,8,2,24,24,24,24,-16.53967789,-68.06652807,81432432054
2025-05-15 09:56:03,2,3,3,3,13,3,29,29,29,29,-16.53967789,-68.06652807,81432432054
2025-05-15 10:11:03,3,3,3,3,13,3,32,32,32,32,-16.53967789,-68.06652807,81432432054
2025-05-15 10:26:03,2,2,2,2,8,2,26,26,26,26,-16.53967789,-68.06652807,81432432054
2025-05-15 10:41:03,2,2,2,2,8,2,26,27,27,27,-16.53967789,-68.06652807,81432432054
2025-05-15 10:56:03,2,2,2,2,8,2,27,27,27,27,-16.53967789,-68.06652807,81432432054
2025-05-15 11:11:03,2,2,2,2,8,2,24,25,25,25,-16.53967789,-68.06652807,81432432054
2025-05-15 11:26:03,2,2,2,2,8,2,21,22,22,22,-16.53967789,-68.06652807,81432432054
2025-05-15 11:41:03,2,2,2,2,8,2,19,19,19,19,-16.53967789,-68.06652807,81432432054
2025-05-15 11:56:03,2,2,2,2,8,2,18,18,18,18,-16.53967789,-68.06652807,81432432054
2025-05-15 12:11:03,2,2,2,2,8,2,18,18,18,18,-16.53967789,-68.06652807,81432432054
2025-05-15 12:26:03,2,2,2,2,8,2,18,18,18,18,-16.53967789,-68.06652807,81432432054
2025-05-15 12:41:03,2,2,2,2,8,2,19,19,19,19,-16.53967789,-68.06652807,81432432054
